MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;29360128;int;7340032;1;now(), lib chrono;1,742134;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;2;now(), lib chrono;1,703429;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;3;now(), lib chrono;1,698372;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;4;now(), lib chrono;1,659478;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;5;now(), lib chrono;1,748615;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;6;now(), lib chrono;1,772842;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;7;now(), lib chrono;1,735458;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;8;now(), lib chrono;1,729687;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;9;now(), lib chrono;1,791595;1,7405656;1,69E+13;17,4056675;1,13%
SSD;29360128;int;7340032;10;now(), lib chrono;1,824046;1,7405656;1,69E+13;17,4056675;1,13%
MemoryType;BlockSize;ElementType;BufferSize;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write)
SSD;33554432;int;8388608;1;now(), lib chrono;1,999823;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;2;now(), lib chrono;1,899646;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;3;now(), lib chrono;1,941019;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;4;now(), lib chrono;1,959314;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;5;now(), lib chrono;1,985582;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;6;now(), lib chrono;2,014971;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;7;now(), lib chrono;1,924091;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;8;now(), lib chrono;1,736844;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;9;now(), lib chrono;1,895296;1,9240097;1,74E+13;19,2401085;1,25%
SSD;33554432;int;8388608;10;now(), lib chrono;1,883511;1,9240097;1,74E+13;19,2401085;1,25%
